"metadata.Unknown tag (0xc37d)",1
"metadata.Unknown tag (0x00e4)",5
"metadata.Exif SubIFD:JPEG Proc",114
"metadata.Unknown tag (0x1049)",26
"metadata.ICC:Unknown tag (0x4d484332)",24
"metadata.Exif IFD0:Windows XP Author",32408
"metadata.Unknown tag (0xc438)",4
"metadata.Unknown tag (0xc305)",1
"metadata.Exif IFD0:Unknown tag (0xc633)",121
"metadata.Unknown tag (0xc24a)",1
"metadata.Unknown tag (0xb04c)",10726
"metadata.Unknown tag (0x0021)",25995
"metadata.Unknown tag (0xf067)",7
"metadata.Unknown tag (0x4d533033)",1
"metadata.Unknown tag (0xc436)",4
"metadata.Unknown tag (0xc303)",1
"metadata.Unknown tag (0xc3c8)",1
"metadata.Unknown tag (0xfb6c)",1
"metadata.Exif IFD0:Aperture Value",31
"metadata.Unknown tag (0xc1da)",1
"metadata.Exif Thumbnail:Unknown tag (0xc640)",2123
"metadata.Unknown tag (0x20a4)",198
"metadata.Exif IFD0:Unknown tag (0xc6f9)",28
"metadata.Infinity Lens Step",88
"metadata.ICC:Unknown tag (0x4d484331)",20
"metadata.Exif IFD0:Unknown tag (0x835c)",11
"metadata.Unknown tag (0x00e5)",4
"metadata.Unknown tag (0x1048)",208
"metadata.Active D-Lighting",10004
"metadata.Unknown tag (0xc437)",4
"metadata.Exif Thumbnail:Exif Image Width",6064
"metadata.Unknown tag (0xc37c)",1
"metadata.Exif IFD0:Unknown tag (0xc634)",2104
"metadata.Flash Sync Mode",14753
"metadata.Unknown tag (0x0022)",14895
"metadata.Picture Effect",7023
"metadata.Unknown tag (0xc302)",1
"metadata.Unknown tag (0x0288)",4
"metadata.Unknown tag (0xc435)",4
"metadata.ICC:Calibration Date/Time",167
"metadata.Unknown tag (0x84b8)",1
"metadata.modified",1930532
"metadata.Drive Mode",1050
"metadata.Unknown tag (0x20a8)",7
"metadata.Extended WB Detect",465
"metadata.Unknown tag (0x3008)",817
"metadata.Unknown tag (0x1221)",2
"metadata.Unknown tag (0x00e6)",4
"metadata.Unknown tag (0xc3c7)",1
"metadata.Exif SubIFD:Unknown tag (0xa610)",27
"metadata.Unknown tag (0x009a)",332
"metadata.Unknown tag (0x205b)",367
"metadata.GE Image Size",964
"metadata.Exif IFD0:Unknown tag (0xc635)",46
"metadata.Unknown tag (0xc37b)",1
"metadata.Exif Image:Orientation",112
"metadata.Unknown tag (0x2115)",30
"metadata.Unknown tag (0xd26f)",3
"metadata.Unknown tag (0x0023)",22890
"metadata.Unknown tag (0xc434)",4
"metadata.Unknown tag (0x4510)",1
"metadata.Unknown tag (0xc301)",1
"metadata.Compressed Image Size",50
"metadata.Unknown tag (0x0289)",4
"metadata.Unknown tag (0xf069)",4
"metadata.Optical Zoom On",49
"metadata.Face Detect Frame Size",751
"metadata.Unknown tag (0x3009)",817
"metadata.Exif Thumbnail:YCbCr Sub-Sampling",643
"metadata.Daylight Savings",3
"metadata.Unknown tag (0x1220)",2
"metadata.Unknown tag (0x00e7)",4
"metadata.height",39236022
"metadata.Unknown tag (0xc3c6)",1
"metadata.Unknown tag (0x205a)",758
"metadata.Exif SubIFD:Unknown tag (0xa611)",27
"metadata.Unknown tag (0xc37a)",1
"metadata.Unknown tag (0x009b)",332
"metadata.Unknown tag (0xc1df)",1
"metadata.Unknown tag (0x2110)",30
"metadata.Flash Charge Level",122
"metadata.Unknown tag (0x031c)",444
"metadata.Exif Image:Unknown tag (0x8769)",1
"metadata.Exif IFD0:Unknown tag (0xc6f4)",71
"metadata.Unknown tag (0x1045)",499
"metadata.Exif SubIFD:Unknown tag (0x4748)",1
"metadata.Unknown tag (0xc24e)",1
"metadata.Exif IFD0:Make",480744
"metadata.Unknown tag (0x44657644)",14
"metadata.Unknown tag (0x20a1)",198
"metadata.Unknown tag (0x031b)",419
"metadata.AF Assist Lamp",3457
"metadata.Exif SubIFD:Unknown tag (0xa612)",27
"metadata.Deleted Image Count",263
"metadata.Unknown tag (0x4204)",106
"metadata.Unknown tag (0xc309)",1
"metadata.Unknown tag (0x00e0)",859
"metadata.robots",1
"metadata.Unknown tag (0xc1de)",1
"metadata.Flash Energy",90
"metadata.Exif SubIFD:Unknown tag (0xa614)",27
"metadata.Unknown tag (0x506d7472)",13
"metadata.Unknown tag (0x031d)",443
"metadata.Exif IFD0:Unknown tag (0x866c)",2
"metadata.Exif IFD0:Unknown tag (0xc6f5)",1
"metadata.Unknown tag (0x1044)",234
"metadata.Unknown tag (0xc24d)",1
"metadata.Exif SubIFD:Unknown tag (0xa613)",27
"metadata.Unknown tag (0xc308)",1
"metadata.Exif IFD0:Unknown tag (0xc630)",115
"metadata.Exif IFD0:Unknown tag (0xc763)",1
"metadata.Unknown tag (0x4205)",55
"metadata.Unknown tag (0x8833)",10
"metadata.Exif SubIFD:Time Zone Original",111954
"metadata.Unknown tag (0x00e1)",173
"metadata.Unknown tag (0x8700)",1
"metadata.Program Version",1384
"metadata.Unknown tag (0xc1dd)",1
"metadata.Unknown tag (0xb04d)",10728
"metadata.Unknown tag (0x0284)",4
"metadata.Exif SubIFD:Unknown tag (0xa615)",27
"metadata.Exif Thumbnail:Tile Width",958
"metadata.Camera Serial Number",15196
"metadata.Exif IFD0:Lens Model",2140
"metadata.Unknown tag (0x031e)",535
"metadata.Exif IFD0:Unknown tag (0xc6f6)",13
"metadata.Unknown tag (0x00e2)",173
"metadata.Unknown tag (0xc24c)",1
"metadata.Unknown tag (0xc37f)",1
"metadata.Unknown tag (0x1047)",374
"metadata.Unknown tag (0x20a3)",242
"metadata.Unknown tag (0x4202)",106
"metadata.Unknown tag (0xc307)",1
"metadata.Exif IFD0:Unknown tag (0xc764)",1
"metadata.Unknown tag (0xdb32)",1
"metadata.Unknown tag (0x0152)",27
"metadata.Unknown tag (0xc1dc)",1
"metadata.Unknown tag (0x0285)",78
"metadata.Unknown tag (0x2111)",30
"metadata.Exif SubIFD:Unknown tag (0xa616)",27
"metadata.Exif SubIFD:Max Aperture Value",262229
"metadata.Alpha Channels",305
"metadata.Unknown tag (0xc741)",2
"metadata.Exif IFD0:Unknown tag (0xc6f7)",1
"metadata.Country/Primary Location Code",3514
"metadata.Unknown tag (0xc37e)",1
"metadata.Unknown tag (0x00e3)",5
"metadata.Unknown tag (0xc24b)",1
"metadata.Unknown tag (0x3005)",888
"metadata.Unknown tag (0x20a2)",198
"metadata.Unknown tag (0x1046)",477
"metadata.Unknown tag (0x075a)",80
"metadata.Unknown tag (0xc306)",1
"metadata.Unknown tag (0xc439)",4
"metadata.Flash Curtain",1030
"metadata.Unknown tag (0x4203)",106
"metadata.Internal Flash AE1 0",122
"metadata.Exif IFD0:Unknown tag (0xc632)",2
"metadata.Exif SubIFD:Unknown tag (0x4000)",978
"metadata.ICC:Unknown tag (0x4d464b6e)",1
"metadata.Exif IFD0:Unknown tag (0xa40e)",1
"metadata.Rendering Intent",76351
"metadata.Manual Flash Strength",439
"metadata.Unknown tag (0xc616)",2
"metadata.Exif IFD0:Unknown tag (0x0225)",10387
"metadata.Exif SubIFD:Unknown tag (0x4001)",978
"metadata.Exif SubIFD:Exposure Mode",375725
"metadata.ICC:Unknown tag (0x63696973)",42
"metadata.Unknown tag (0x3148)",5
"metadata.Unknown tag (0x032a)",307
